Reference, Value, Footprint, Datasheet, manf#
U4,MPU-9250,Housings_DFN_QFN:QFN-24-1EP_3x3mm_Pitch0.4mm,
U6,XBee,Housings_DIP:DIP-20_W7.62mm_LongPads,
U2,MPL3115A2,SMD_Packages:SOIC-8-N,
U3,microSD,Pin_Headers:Pin_Header_Straight_1x06,,DM3CS-SF
U5,LS20031,Pin_Headers:Pin_Header_Straight_1x05,
U1,Teensy_LC,hlib:Teensy_3.1,
R5,1K,Resistors_SMD:R_0402,
R6,1K,Resistors_SMD:R_0402,
R4,1K,Resistors_SMD:R_0402,
R7,1K,Resistors_SMD:R_0402,
P1,SERVO,Pin_Headers:Pin_Header_Straight_1x03,
Q1,MOS_P,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
R2,1M,Resistors_SMD:R_0402,
R3,1K,Resistors_SMD:R_0402,
R1,100,Resistors_SMD:R_0402,
Q2,MOS_P,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
R8,100,Resistors_SMD:R_0402,
R9,1M,Resistors_SMD:R_0402,
C11,100nF,Capacitors_SMD:C_0402,
C13,10uF,Capacitors_SMD:C_0402,
C12,1uF,Capacitors_SMD:C_0402,
C8,100nF,Capacitors_SMD:C_0402,
P2,I2C,Pin_Headers:Pin_Header_Straight_1x04,
C7,100nF,Capacitors_SMD:C_0402,
C10,10uF,Capacitors_SMD:C_0402,
C9,1uF,Capacitors_SMD:C_0402,
C6,10nF,Capacitors_SMD:C_0402,,CC0402KRX7R8BB103
C2,0.1uF,Capacitors_SMD:C_0402,
C3,100nF,Capacitors_SMD:C_0402,
C5,10uF,Capacitors_SMD:C_0402,
C4,1uF,Capacitors_SMD:C_0402,
C1,10uF,Capacitors_SMD:C_0402,
C14,10uF,Capacitors_SMD:C_0402,
U7,ArduCAM-M-2MP,Pin_Headers:Pin_Header_Straight_1x08,
P3,PITOT,Pin_Headers:Pin_Header_Straight_1x03,
Q3,MOS_P,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
R11,1M,Resistors_SMD:R_0402,
R10,100,Resistors_SMD:R_0402,
R12,10k,Resistors_SMD:R_0402,
R13,10k,Resistors_SMD:R_0402,
P4,SERIAL,Pin_Headers:Pin_Header_Straight_1x04,
U8,TPS63031,Housings_SSOP:MSOP-10-1EP_3x3mm_Pitch0.5mm,
L1,1.5 uH,Inductors:IND_BOURNS_SRP1238A,
C15,10 uF,Capacitors_SMD:C_0402,
C17,10 uF,Capacitors_SMD:C_0402,
C16,0.1 uF,Capacitors_SMD:C_0402,
C18,10 uF,Capacitors_SMD:C_0402,
BT2,MAIN BATTERY,Pin_Headers:Pin_Header_Straight_1x02,
SW1,SW_PUSH_4,Buttons_Switches_ThroughHole:SW_TH_Tactile_Omron_B3F-10xx,
R21,10K,Resistors_SMD:R_0402,
R16,1M,Resistors_SMD:R_0402,
Q5,MOS_P,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
L3,INDUCTOR,Choke_Axial_ThroughHole:Choke_Horizontal_RM10mm,
L4,INDUCTOR,Choke_Axial_ThroughHole:Choke_Horizontal_RM10mm,
R19,1M,Resistors_SMD:R_0402,
R20,1M,Resistors_SMD:R_0402,
U9,TPS63061,Housings_SSOP:MSOP-10-1EP_3x3mm_Pitch0.5mm,
R15,1K,Resistors_SMD:R_0402,
Q6,MOS_P,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
L2,1 uH,Inductors:IND_BOURNS_SRP1238A,
C21,0.1 uF,Capacitors_SMD:C_0402,
C20,10 uF,Capacitors_SMD:C_0402,
C19,10 uF,Capacitors_SMD:C_0402,
C22,22 uF,Capacitors_SMD:C_0402,
C23,22 uF,Capacitors_SMD:C_0402,
C24,22 uF,Capacitors_SMD:C_0402,
BT1,BACK BATTERY,Pin_Headers:Pin_Header_Straight_1x02,
Q4,MOS_P,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
R14,1M,Resistors_SMD:R_0402,
D1,D_Schottky,Diodes_SMD:MELF-RM10_Universal_Handsoldering,
D3,DZ2J030M0L,Diodes_SMD:MELF-RM10_Universal_Handsoldering,
R18,100K,Resistors_SMD:R_0402,
D2,D_Schottky,Diodes_SMD:MELF-RM10_Universal_Handsoldering,
R17,100K,Resistors_SMD:R_0402,
